Team,Wins,Losses,GP,Win_Pct,PF,PA,Avg_Margin,School_Slug,Conference,Opp_Win_Pct,Opp_Opp_Win_Pct,SOS
Red Bank Catholic,11,2,13,0.8462,412,154,19.846,red-bank-red-bank-catholic,Shore,0.4581,0.5581,0.4914
Burlington Township,10,1,11,0.9091,308,90,19.818,burlington-twp-burlington-township,WJFL,0.4905,0.5412,0.5074
Kingsway,10,3,13,0.7692,449,196,19.462,woolwich-twp-kingsway,WJFL,0.5139,0.5612,0.5296
Cedar Creek,12,2,14,0.8571,487,226,18.643,egg-harbor-city-cedar-creek,WJFL,0.5637,0.5413,0.5563
Don Bosco Prep,11,1,12,0.9167,351,130,18.417,ramsey-don-bosco-prep,SFC,0.5978,0.5688,0.5881
Bergen Catholic,8,3,11,0.7273,370,172,18.0,oradell-bergen-catholic,SFC,0.5961,0.5629,0.585
High Point,8,2,10,0.8,349,170,17.9,sussex-high-point,SFC,0.4021,0.4891,0.4311
Belleville,7,1,8,0.875,248,105,17.875,belleville-belleville,SFC,0.3941,0.487,0.425
Shabazz,12,2,14,0.8571,420,178,17.286,newark-shabazz,SFC,0.6169,0.5473,0.5937
Shore,8,3,11,0.7273,347,158,17.182,w-long-branch-shore,Shore,0.5046,0.4975,0.5022
Brick Memorial,10,3,13,0.7692,432,209,17.154,brick-brick-memorial,Shore,0.5857,0.5436,0.5716
Hoboken,9,1,10,0.9,286,117,16.9,hoboken-hoboken,SFC,0.4032,0.5374,0.4479
Fort Lee,9,0,9,1.0,300,149,16.778,fort-lee-fort-lee,SFC,0.4448,0.5031,0.4642
Phillipsburg,10,3,13,0.7692,430,212,16.769,phillipsburg-phillipsburg,Big Central,0.5841,0.5212,0.5632
Bridgeton,6,3,9,0.6667,279,129,16.667,bridgeton-bridgeton,WJFL,0.4579,0.4778,0.4645
Bernards,9,1,10,0.9,266,100,16.6,bernardsville-bernards,Big Central,0.5064,0.5255,0.5128
West Morris,12,1,13,0.9231,393,180,16.385,chester-west-morris,SFC,0.5073,0.5246,0.513
Atlantic City,10,2,12,0.8333,366,170,16.333,atlantic-city-atlantic-city,WJFL,0.5028,0.5477,0.5178
Wayne Hills,9,3,12,0.75,418,224,16.167,wayne-wayne-hills,SFC,0.5177,0.5563,0.5306
Neptune,9,2,11,0.8182,355,180,15.909,neptune-neptune,Shore,0.4722,0.4796,0.4747
West Orange,9,3,12,0.75,366,176,15.833,west-orange-west-orange,SFC,0.5373,0.4855,0.52
Old Bridge,10,2,12,0.8333,382,195,15.583,matawan-old-bridge,Big Central,0.5162,0.4762,0.5029
Bordentown,7,2,9,0.7778,233,97,15.111,bordentown-bordentown,WJFL,0.4736,0.5106,0.486
Dayton,7,2,9,0.7778,240,105,15.0,springfield-dayton,Big Central,0.3398,0.4609,0.3802
Roselle Park,6,4,10,0.6,317,167,15.0,roselle-park-roselle-park,Big Central,0.3448,0.4795,0.3897
Rahway,6,4,10,0.6,317,167,15.0,rahway-rahway,Big Central,0.3827,0.4904,0.4186
Westwood,11,2,13,0.8462,370,176,14.923,washington-twp-westwood,SFC,0.5842,0.5427,0.5703
St. Peter&#x27;s Prep,8,3,11,0.7273,356,192,14.909,jersey-city-st-peters-prep,SFC,0.5835,0.5453,0.5708
Paulsboro,9,2,11,0.8182,334,171,14.818,paulsboro-paulsboro,WJFL,0.4217,0.5259,0.4564
Holmdel,9,3,12,0.75,517,340,14.75,holmdel-holmdel,Shore,0.593,0.5372,0.5744
Mountain Lakes,7,3,10,0.7,327,180,14.7,mountain-lakes-mountain-lakes,SFC,0.544,0.5295,0.5391
Hopewell Valley,7,3,10,0.7,317,175,14.2,pennington-hopewell-valley,WJFL,0.5135,0.5017,0.5096
Bayonne,8,4,12,0.6667,360,192,14.0,bayonne-bayonne,SFC,0.3751,0.4788,0.4096
Hasbrouck Heights,8,3,11,0.7273,324,172,13.818,hasbrouck-hts-hasbrouck-heights,NJIC,0.5941,0.5217,0.57
Bishop Eustace,6,2,8,0.75,225,115,13.75,pennsauken-bishop-eustace,WJFL,0.3665,0.4763,0.4031
Passaic Tech,10,4,14,0.7143,462,270,13.714,wayne-passaic-tech,SFC,0.5307,0.4852,0.5156
West Milford,9,2,11,0.8182,280,130,13.636,west-milford-west-milford,SFC,0.4253,0.542,0.4642
Lyndhurst,6,4,10,0.6,267,131,13.6,lyndhurst-lyndhurst,NJIC,0.513,0.4976,0.5078
Sayreville,9,2,11,0.8182,364,216,13.455,parlin-sayreville,Big Central,0.4885,0.4928,0.49
Somerville,8,2,10,0.8,290,156,13.4,somerville-somerville,Big Central,0.4523,0.5162,0.4736
Seneca,9,3,12,0.75,325,168,13.083,tabernacle-seneca,WJFL,0.5122,0.5546,0.5263
Gateway,7,3,10,0.7,310,184,12.6,woodbury-hts-gateway,WJFL,0.3016,0.4488,0.3506
Kinnelon,10,2,12,0.8333,304,153,12.583,kinnelon-kinnelon,SFC,0.4918,0.5255,0.503
Ridgefield Park,6,3,9,0.6667,288,175,12.556,ridgefield-park-ridgefield-park,SFC,0.4847,0.4754,0.4816
Central Regional,8,2,10,0.8,250,127,12.3,bayville-central-regional,Shore,0.4527,0.4895,0.465
Haddonfield,10,3,13,0.7692,327,169,12.154,haddonfield-haddonfield,WJFL,0.6291,0.5243,0.5942
Wood-Ridge,6,4,10,0.6,263,142,12.1,wood-ridge-wood-ridge,NJIC,0.4547,0.4805,0.4633
Cedar Grove,10,4,14,0.7143,436,267,12.071,cedar-grove-cedar-grove,SFC,0.6079,0.549,0.5882
Northern Highlands,8,3,11,0.7273,285,158,11.545,allendale-northern-highlands,SFC,0.6067,0.5445,0.5859
